 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5500
 * Running on http://172.31.45.52:5500
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 143-971-197
208.127.31.110 - - [16/Jun/2025 08:55:50] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
54.169.43.150 - - [16/Jun/2025 08:57:12] "GET /api/revenue HTTP/1.1" 200 -
